1.SmallPhytoplankton
2.LargePhytoplankton
3.SmallZooplankton
4.LargeZooplankton
5.SmallBenthicFauna
6.LargeBenthicFauna
7.SmallFish
8.BenthPelFish
9.LargeFish
10.ToothedWhales
11.Sharks
12.Jellyfish
13.BaleenWhales
14.Seabirds
15.Squid
16.Detritus
17.Pinnipeds























